Всебелорусская олимпиада,0
Всероссийская олимпиада школьников математика,0
Всероссийская олимпиада школьников информатика,0
Всесибирская открытая олимпиада школьников информатика,1
Всесибирская открытая олимпиада школьников математика,2
Всеукраинская олимпиада,0
Международная олимпиада,0
Межрегиональная олимпиада по информатике и компьютерной безопасности информатика,2
"Межрегиональная олимпиада школьников ""Высшая проба"" информатика",2
"Межрегиональная олимпиада школьников ""Высшая проба"" математика",1
"Межрегиональная олимпиада школьников ""САММАТ"" математика",2
Межрегиональная олимпиада школьников «Высшая проба» информатика,2
Межрегиональная олимпиада школьников «Высшая проба» математика,1
Межрегиональная олимпиада школьников «САММАТ» математика,2
Межрегиональная олимпиада школьников на базе ведомственных образовательных организаций математика,2
Межрегиональная олимпиада школьников по математике и криптографии математика,1
Московская олимпиада школьников информатика,1
Московская олимпиада школьников математика,1
Объединённая межвузовская математическая олимпиада математика,2
Объединенная межвузовская математическая олимпиада школьников математика,2
Олимпиада Курчатов математика,2
"Олимпиада школьников ""Ломоносов"" информатика",1
"Олимпиада школьников ""Ломоносов"" математика",1
"Олимпиада школьников ""Покори Воробьёвы горы!"" математика",1
Олимпиада школьников «Покори Воробьёвы горы!» математика,1
"Олимпиада школьников ""Физтех"" математика",2
Олимпиада школьников «Ломоносов» информатика,1
Олимпиада школьников «Ломоносов» математика,1
Олимпиада школьников «Покори Воробьевы горы!» математика,1
Олимпиада школьников «Физтех» математика,2
Олимпиада школьников по информатике и программированию информатика,1
Олимпиада школьников по программированию «ТехноКубок» информатика,2
Олимпиада школьников Санкт-Петербургского государственного университета математика,1
Олимпиада Юношеской математической школы математика,2
Открытая Олимпиада Университета Иннополис для школьников математика,3
Открытая Олимпиада Университета Иннополис для школьников информатика,1
"Открытая олимпиада школьников ""Информационные технологии"" информатика",1
Открытая олимпиада школьников «Информационные технологии» информатика,1
Открытая олимпиада школьников по математике математика,3
Открытая олимпиада школьников по программированию информатика,1
"Отраслевая физико-математическая олимпиада школьников ""Росатом"" математика",2
Отраслевая физико-математическая олимпиада школьников «Росатом» математика,2
Санкт-Петербургская олимпиада школьников математика,1
Турнир городов математика,1
Турнир имени М. В. Ломоносова математика,2
Турнир имени М.В. Ломоносова математика,2
Физтех математика,2
Открытая олимпиада школьников информационные технологии,1
Открытая олимпиада школьников математика,3
Олимпиада школьников Санкт-Петербургского государственного университета информатика,2
